dat_yer,dst_num,dst_tye,dst_nam,dst_cou,sch_num,sch_nam,sch_cou,enr_k12,fre_k12,rpc_k12,lep_k12,spe_k12,enr_pk12,fre_pk12,rpc_pk12,lep_pk12,spe_pk12,eco_dev
01-02,0001,01,AITKIN,01,001,AITKIN SEC.,01,655,128,83,0,70,655,128,83,0,70,03
01-02,0001,01,AITKIN,01,002,RIPPLESIDE EL.,01,648,183,89,0,78,657,184,89,0,87,03
01-02,0001,01,AITKIN,01,003,PALISADE EL.,01,40,18,11,0,5,40,18,11,0,5,03
01-02,0001,01,AITKIN,01,006,AITKIN ALP,01,11,0,0,0,1,11,0,0,0,1,03
01-02,0001,03,MINNEAPOLIS,27,023,SPECIAL ED - SPEECH ONLY,27,0,0,0,0,0,67,3,0,0,67,11
01-02,0001,03,MINNEAPOLIS,27,103,ARMATAGE EL.,27,383,136,13,78,64,397,138,13,78,78,11
01-02,0001,03,MINNEAPOLIS,27,104,LAKE HARRIET LOWER,27,248,26,6,18,23,248,26,6,18,23,11
01-02,0001,03,MINNEAPOLIS,27,105,BANCROFT EL.,27,469,304,68,185,43,469,304,68,185,43,11
01-02,0001,03,MINNEAPOLIS,27,106,BARTON OPEN EL.,27,588,80,17,28,57,588,80,17,28,57,11
01-02,0001,03,MINNEAPOLIS,27,107,BETHUNE EL.,27,450,376,45,146,50,462,386,46,146,62,11
01-02,0001,03,MINNEAPOLIS,27,110,BURROUGHS EL.,27,490,138,18,129,31,490,138,18,129,31,11
01-02,0001,03,MINNEAPOLIS,27,114,COOPER EL.,27,204,128,21,43,34,204,128,21,43,34,11
01-02,0001,03,MINNEAPOLIS,27,118,ERICSSON EL.,27,327,181,31,99,45,327,181,31,99,45,11
01-02,0001,03,MINNEAPOLIS,27,119,FIELD EL.,27,482,171,30,105,39,482,171,30,105,39,11
01-02,0001,03,MINNEAPOLIS,27,121,LAKE HARRIET UPPER,27,522,149,27,94,82,522,149,27,94,82,11
01-02,0001,03,MINNEAPOLIS,27,123,HALE EL.,27,615,135,24,74,30,615,135,24,74,30,11
01-02,0001,03,MINNEAPOLIS,27,124,PARK VIEW MONTESSORI EL.,27,309,175,37,7,31,322,184,37,7,44,11
01-02,0001,03,MINNEAPOLIS,27,126,HAMILTON EL.,27,364,284,39,96,44,364,284,39,96,44,11
01-02,0001,03,MINNEAPOLIS,27,129,LINCOLN EL.,27,742,607,79,152,66,742,607,79,152,66,11
01-02,0001,03,MINNEAPOLIS,27,130,HIAWATHA EL.,27,240,117,22,7,31,240,117,22,7,31,11
01-02,0001,03,MINNEAPOLIS,27,131,HOLLAND EL.,27,272,205,25,104,36,272,205,25,104,36,11
01-02,0001,03,MINNEAPOLIS,27,132,HOWE EL.,27,195,109,32,23,20,204,111,34,23,29,11
01-02,0001,03,MINNEAPOLIS,27,134,KEEWAYDIN EL.,27,270,119,31,59,36,270,119,31,59,36,11
01-02,0001,03,MINNEAPOLIS,27,135,KENNY EL.,27,414,138,24,53,35,418,138,24,53,39,11
01-02,0001,03,MINNEAPOLIS,27,136,KENWOOD EL.,27,323,127,25,54,24,323,127,25,54,24,11
01-02,0001,03,MINNEAPOLIS,27,139,LONGFELLOW EL.,27,265,174,39,54,31,282,181,41,54,48,11
01-02,0001,03,MINNEAPOLIS,27,140,LORING EL.,27,389,249,47,89,48,389,249,47,89,48,11
01-02,0001,03,MINNEAPOLIS,27,143,MCKNIGHT EEC,27,68,16,2,0,2,68,16,2,0,2,11
01-02,0001,03,MINNEAPOLIS,27,144,LYNDALE EL.,27,391,324,29,177,62,398,331,29,177,69,11
01-02,0001,03,MINNEAPOLIS,27,150,MORRIS PARK EL.,27,181,79,23,3,22,199,88,23,3,40,11
