dat_yer,dst_num,dst_tye,dst_nam,dst_cou,sch_num,sch_nam,sch_cou,enr_k12,fre_k12,rpc_k12,lep_k12,spe_k12,enr_pk12,fre_pk12,rpc_pk12,lep_pk12,spe_pk12,eco_dev
99-00,0001,01,AITKIN,01,001,AITKIN SEC.,01,697,135,76,0,63,697,135,76,0,63,03
99-00,0001,01,AITKIN,01,002,RIPPLESIDE EL.,01,625,167,84,0,83,641,169,85,0,99,03
99-00,0001,01,AITKIN,01,003,PALISADE EL.,01,32,21,2,0,2,32,21,2,0,2,03
99-00,0001,01,AITKIN,01,006,AITKIN ALP,01,17,3,0,0,0,17,3,0,0,0,03
99-00,0001,03,MINNEAPOLIS,27,023,SPECIAL ED - SPEECH ONLY,27,0,0,0,0,0,41,2,1,0,41,11
99-00,0001,03,MINNEAPOLIS,27,103,ARMATAGE EL.,27,427,201,14,133,78,427,201,14,133,78,11
99-00,0001,03,MINNEAPOLIS,27,104,AUDUBON EL.,27,178,43,5,0,32,189,44,5,0,43,11
99-00,0001,03,MINNEAPOLIS,27,105,BANCROFT EL.,27,499,348,44,134,48,499,348,44,134,48,11
99-00,0001,03,MINNEAPOLIS,27,106,BARTON OPEN EL.,27,592,87,35,14,65,592,87,35,14,65,11
99-00,0001,03,MINNEAPOLIS,27,107,BETHUNE EL.,27,589,483,81,231,64,602,492,84,231,77,11
99-00,0001,03,MINNEAPOLIS,27,110,BURROUGHS EL.,27,478,147,24,108,35,478,147,24,108,35,11
99-00,0001,03,MINNEAPOLIS,27,114,COOPER EL.,27,232,171,14,13,31,232,171,14,13,31,11
99-00,0001,03,MINNEAPOLIS,27,118,ERICSSON EL.,27,381,188,44,95,46,381,188,44,95,46,11
99-00,0001,03,MINNEAPOLIS,27,119,FIELD EL.,27,422,185,27,102,53,422,185,27,102,53,11
99-00,0001,03,MINNEAPOLIS,27,121,FULTON EL.,27,503,162,19,133,59,503,162,19,133,59,11
99-00,0001,03,MINNEAPOLIS,27,123,HALE EL.,27,578,172,27,99,30,578,172,27,99,30,11
99-00,0001,03,MINNEAPOLIS,27,124,PARK VIEW MONTESSORI EL,27,263,144,45,1,38,273,151,45,1,48,11
99-00,0001,03,MINNEAPOLIS,27,126,HAMILTON EL.,27,518,396,49,151,62,518,396,49,151,62,11
99-00,0001,03,MINNEAPOLIS,27,129,LINCOLN EL.,27,706,596,58,135,86,706,596,58,135,86,11
99-00,0001,03,MINNEAPOLIS,27,130,HIAWATHA EL.,27,259,133,23,0,32,259,133,23,0,32,11
99-00,0001,03,MINNEAPOLIS,27,131,HOLLAND EL.,27,371,249,39,121,48,371,249,39,121,48,11
99-00,0001,03,MINNEAPOLIS,27,132,HOWE EL.,27,220,129,27,0,27,230,133,28,0,37,11
99-00,0001,03,MINNEAPOLIS,27,134,KEEWAYDIN EL.,27,306,114,46,79,38,306,114,46,79,38,11
99-00,0001,03,MINNEAPOLIS,27,135,KENNY EL.,27,469,148,39,81,34,469,148,39,81,34,11
99-00,0001,03,MINNEAPOLIS,27,136,KENWOOD EL.,27,451,238,25,69,45,451,238,25,69,45,11
99-00,0001,03,MINNEAPOLIS,27,139,LONGFELLOW EL,27,301,200,30,16,38,339,215,37,16,76,11
99-00,0001,03,MINNEAPOLIS,27,140,LORING EL.,27,452,249,57,68,51,452,249,57,68,51,11
99-00,0001,03,MINNEAPOLIS,27,143,MCKNIGHT EEC,27,66,14,2,0,1,66,14,2,0,1,11
99-00,0001,03,MINNEAPOLIS,27,144,LYNDALE EL.,27,469,392,27,200,58,475,395,29,200,64,11
99-00,0001,03,MINNEAPOLIS,27,150,MORRIS PARK EL.,27,236,114,29,0,16,242,115,31,0,22,11
99-00,0001,03,MINNEAPOLIS,27,151,JENNY LIND EL.,27,617,353,104,213,85,617,353,104,213,85,11
99-00,0001,03,MINNEAPOLIS,27,152,NORTHROP EL.,27,279,96,35,13,29,279,96,35,13,29,11
99-00,0001,03,MINNEAPOLIS,27,155,PILLSBURY EL.,27,610,311,67,175,61,628,319,68,175,79,11
99-00,0001,03,MINNEAPOLIS,27,158,PUTNAM EL.,27,284,191,20,10,42,284,191,20,10,42,11
99-00,0001,03,MINNEAPOLIS,27,160,SEWARD EL.,27,664,214,57,119,70,679,222,57,119,85,11
99-00,0001,03,MINNEAPOLIS,27,161,SHERIDAN EL.,27,714,411,65,207,74,714,411,65,207,74,11
99-00,0001,03,MINNEAPOLIS,27,162,SHINGLE CREEK EL.,27,449,317,48,71,50,449,317,48,71,50,11
99-00,0001,03,MINNEAPOLIS,27,164,TUTTLE EL.,27,393,241,32,132,42,393,241,32,132,42,11
99-00,0001,03,MINNEAPOLIS,27,165,WAITE PARK EL.,27,433,195,57,84,46,433,195,57,84,46,11
99-00,0001,03,MINNEAPOLIS,27,166,WEBSTER OPEN EL.,27,734,523,87,292,68,734,523,87,292,68,11
99-00,0001,03,MINNEAPOLIS,27,167,WENONAH EL.,27,245,108,30,0,20,245,108,30,0,20,11
99-00,0001,03,MINNEAPOLIS,27,169,WILLARD EL.,27,545,368,53,119,61,545,368,53,119,61,11
99-00,0001,03,MINNEAPOLIS,27,170,WINDOM OPEN EL.,27,450,239,30,176,51,450,239,30,176,51,11
99-00,0001,03,MINNEAPOLIS,27,175,RAMSEY FINE ARTS EL.,27,914,377,93,103,108,914,377,93,103,108,11
99-00,0001,03,MINNEAPOLIS,27,179,JEFFERSON EL.,27,610,436,49,272,89,613,438,49,272,92,11
99-00,0001,03,MINNEAPOLIS,27,180,DOWLING EL.,27,376,107,35,0,78,376,107,35,0,78,11
99-00,0001,03,MINNEAPOLIS,27,182,SOUTHSIDE FAMILY,27,62,28,6,1,2,62,28,6,1,2,11
99-00,0001,03,MINNEAPOLIS,27,183,RIVER WEST ECSE,27,0,0,0,0,0,197,41,2,0,197,11
99-00,0001,03,MINNEAPOLIS,27,185,NORTH STAR EL.,27,738,595,60,201,94,738,595,60,201,94,11
99-00,0001,03,MINNEAPOLIS,27,190,ANDERSEN OPEN EL.,27,746,526,66,218,111,757,532,68,218,122,11
99-00,0001,03,MINNEAPOLIS,27,191,ANDERSEN EL.,27,427,354,26,86,35,427,354,26,86,35,11
99-00,0001,03,MINNEAPOLIS,27,193,SULLIVAN EL.,27,864,377,89,107,134,864,377,89,107,134,11
99-00,0001,03,MINNEAPOLIS,27,194,BENJAMIN BANNEKER EL.,27,642,494,40,181,57,642,494,40,181,57,11
99-00,0001,03,MINNEAPOLIS,27,195,POWDERHORN EL.,27,497,397,36,137,59,497,397,36,137,59,11
99-00,0001,03,MINNEAPOLIS,27,212,MILL CITY MONTESSORI,27,120,34,5,0,7,120,34,5,0,7,11
99-00,0001,03,MINNEAPOLIS,27,213,FOUR WINDS EL.,27,531,443,24,0,84,531,443,24,0,84,11
