dat_yer,dst_num,dst_tye,dst_nam,dst_cou,sch_num,sch_nam,sch_cou,enr_k12,fre_k12,rpc_k12,lep_k12,spe_k12,enr_pk12,fre_pk12,rpc_pk12,lep_pk12,spe_pk12,eco_dev
02-03,0001,01,AITKIN,01,001,AITKIN SEC.,01,639,137,82,1,79,639,137,82,1,79,03
02-03,0001,01,AITKIN,01,002,RIPPLESIDE EL.,01,619,150,74,0,72,638,157,74,0,91,03
02-03,0001,01,AITKIN,01,003,PALISADE EL.,01,36,14,9,0,5,36,14,9,0,5,03
02-03,0001,01,AITKIN,01,006,AITKIN ALP,01,17,0,1,0,0,17,0,1,0,0,03
02-03,0001,03,MINNEAPOLIS,27,023,SPECIAL ED - SPEECH ONLY,27,0,0,0,0,0,60,2,2,0,60,11
02-03,0001,03,MINNEAPOLIS,27,103,ARMATAGE EL.,27,410,130,15,33,73,421,133,16,33,84,11
02-03,0001,03,MINNEAPOLIS,27,104,LAKE HARRIET LOWER,27,259,7,2,8,18,259,7,2,8,18,11
02-03,0001,03,MINNEAPOLIS,27,105,BANCROFT EL.,27,482,307,69,190,51,482,307,69,190,51,11
02-03,0001,03,MINNEAPOLIS,27,106,BARTON OPEN EL.,27,612,93,32,41,58,612,93,32,41,58,11
02-03,0001,03,MINNEAPOLIS,27,107,BETHUNE EL.,27,364,318,19,114,42,392,333,24,114,70,11
02-03,0001,03,MINNEAPOLIS,27,110,BURROUGHS EL.,27,393,89,4,72,14,393,89,4,72,14,11
02-03,0001,03,MINNEAPOLIS,27,114,COOPER EL.,27,214,148,14,67,34,215,148,14,67,35,11
02-03,0001,03,MINNEAPOLIS,27,118,ERICSSON EL.,27,272,153,29,72,44,272,153,29,72,44,11
02-03,0001,03,MINNEAPOLIS,27,119,FIELD EL.,27,462,124,29,55,41,462,124,29,55,41,11
02-03,0001,03,MINNEAPOLIS,27,121,LAKE HARRIET UPPER,27,495,74,9,22,77,495,74,9,22,77,11
02-03,0001,03,MINNEAPOLIS,27,123,HALE EL.,27,629,119,31,63,39,629,119,31,63,39,11
02-03,0001,03,MINNEAPOLIS,27,124,PARK VIEW MONTESSORI EL.,27,316,177,59,12,38,324,184,60,12,46,11
02-03,0001,03,MINNEAPOLIS,27,126,HAMILTON EL.,27,295,214,40,65,47,295,214,40,65,47,11
02-03,0001,03,MINNEAPOLIS,27,129,LINCOLN EL.,27,685,581,66,163,75,685,581,66,163,75,11
02-03,0001,03,MINNEAPOLIS,27,130,HIAWATHA EL.,27,222,103,22,8,31,222,103,22,8,31,11
02-03,0001,03,MINNEAPOLIS,27,131,HOLLAND EL.,27,265,217,24,102,38,265,217,24,102,38,11
02-03,0001,03,MINNEAPOLIS,27,132,HOWE EL.,27,188,119,13,19,20,195,121,14,19,27,11
02-03,0001,03,MINNEAPOLIS,27,134,KEEWAYDIN EL.,27,252,79,27,32,37,252,79,27,32,37,11
02-03,0001,03,MINNEAPOLIS,27,135,KENNY EL.,27,359,99,15,23,37,359,99,15,23,37,11
02-03,0001,03,MINNEAPOLIS,27,136,KENWOOD EL.,27,325,113,11,59,29,325,113,11,59,29,11
02-03,0001,03,MINNEAPOLIS,27,139,LONGFELLOW EL.,27,293,209,31,73,30,314,216,34,73,51,11
