Data Year,County Number,County Name,District Number,District Type,District Name,School Number,School Name,ECSU Number,Eco Dev Rgn,Test Name,Test Date,Grade,Subject,Report Order,Report Category,Report Description,Filtered,Count Tested,Count Passed,Count Not Passed,Percent Passed,Percent Not Passed,Average Score,VESS Average Score,CSPSS Average Score,LSS Average Score,Standard Deviation,Std. Error of Mean,Confidence Interval,Count Absent,Count Invalid,Count Medical Exempt,Count Not Complete,Count PSO,Count Refused,Count Wrong Grade,October 1 Grade Enrollment,October 1 District Enrollment,Filter Threshold,Public School,School County Number,School County Name,School Classification,,,,,,,,
07-08,,,0014,31,Nonpublic School                   ,006,AL-AMAL SCHOOL                     ,,11 ,GRAD,20080414,10,R,1,All Categories,All Students,N,14,14,0,100,0,62,8.4,21.9,5.6,10.8,2.9,56.6-67.4,0,0,0,0,0,0,0,,,9,N,02,Anoka                                        ,00,,,,,,,,
07-08,,,0077,31,Nonpublic School                   ,017,LOYOLA CATHOLIC SCHOOL             ,,09 ,GRAD,20080414,10,R,1,All Categories,All Students,N,57,49,8,86,14,59.5,8.3,20.6,5.4,10.4,1.4,56.8-62.2,0,0,0,0,0,0,0,,,9,N,07,Blue Earth                                   ,00,,,,,,,,
07-08,,,0084,31,Nonpublic School                   ,002,ST. MARY'S H.S.                    ,,09 ,GRAD,20080414,10,R,1,All Categories,All Students,N,43,38,5,88.4,11.6,60.3,8.6,20.8,5.2,11.5,1.8,56.9-63.7,0,0,0,0,0,0,0,,,9,N,08,Brown                                        ,00,,,,,,,,
07-08,,,0196,31,Nonpublic School                   ,010,CHRISTIAN HERITAGE ACADEMY         ,,11 ,GRAD,20080414,10,R,1,All Categories,All Students,Y,1,,,,,,,,,,,,,,,,,,,,,9,N,19,Dakota                                       ,00,,,,,,,,
07-08,,,0283,31,Nonpublic School                   ,019,BAIS YAAKOV HIGH SCHOOL            ,,11 ,GRAD,20080414,10,R,1,All Categories,All Students,Y,5,,,,,,,,,,,,,,,,,,,,,9,N,27,Hennepin                                     ,00,,,,,,,,
07-08,,,0625,31,Nonpublic School                   ,930,NACEL INTERNATIONAL SCHOOL         ,,11 ,GRAD,20080414,10,R,1,All Categories,All Students,N,14,5,9,35.7,64.3,46.6,5.6,16.3,3.8,16.5,4.4,38.3-54.9,0,0,0,0,0,0,0,,,9,N,62,Ramsey                                       ,00,,,,,,,,
07-08,,,0625,31,Nonpublic School                   ,957,CHRIST'S HOUSEHOLD OF FAITH        ,,11 ,GRAD,20080414,10,R,1,All Categories,All Students,N,10,7,3,70,30,59.4,8.6,19,4.4,17.6,5.6,49.1-69.7,0,0,0,0,0,0,0,,,9,N,62,Ramsey                                       ,00,,,,,,,,
07-08,,,0861,31,Nonpublic School                   ,026,HOPE LUTHERAN HIGH SCHOOL          ,,10 ,GRAD,20080414,10,R,1,All Categories,All Students,Y,8,,,,,,,,,,,,,,,,,,,,,9,N,85,Winona                                       ,00,,,,,,,,
07-08,,,0861,31,Nonpublic School                   ,031,COTTER SENIOR HIGH                 ,,10 ,GRAD,20080414,10,R,1,All Categories,All Students,N,62,62,0,100,0,63,9,21.5,5.5,10.3,1.3,60.5-65.5,0,0,0,0,0,0,0,,,9,N,85,Winona                                       ,00,,,,,,,,
07-08,,,0911,31,Nonpublic School                   ,003,CAMBRIDGE CHRISTIAN SCHOOL         ,,07E,GRAD,20080414,10,R,1,All Categories,All Students,Y,7,,,,,,,,,,,,,,,,,,,,,9,N,30,Isanti                                       ,00,,,,,,,,
07-08,09,Carlton                                      ,1094,34,Nonpublic School                   ,030,FOND DU LAC OJIBWE SCHOOL          ,03,03 ,GRAD,20080414,10,R,1,All Categories,All Students,N,15,5,10,33.3,66.7,46.3,6.3,16.1,3.9,7.3,1.9,42.7-49.9,0,0,0,0,0,0,0,,,9,N,09,Carlton                                      ,40,,,,,,,,
07-08,11,Cass                                         ,1115,34,Nonpublic School                   ,010,BUG-O-NAY-GE-SHIG                  ,05,05 ,GRAD,20080414,10,R,1,All Categories,All Students,N,14,2,12,14.3,85.7,40.7,5.6,13.7,2.4,7.5,2,36.9-44.5,0,0,0,0,0,0,0,,,9,N,11,Cass                                         ,40,,,,,,,,
07-08,03,Becker                                       ,1435,34,Nonpublic School                   ,010,CIRCLE OF LIFE                     ,01,04 ,GRAD,20080414,10,R,1,All Categories,All Students,Y,9,,,,,,,,,,,,,,,,,,,,,9,N,03,Becker                                       ,40,,,,,,,,
07-08,48,Mille Lacs                                   ,1480,34,Nonpublic School                   ,010,NAY-AH-SHING                       ,07,07E,GRAD,20080414,10,R,1,All Categories,All Students,Y,7,,,,,,,,,,,,,,,,,,,,,9,N,48,Mille Lacs                                   ,40,,,,,,,,
07-08,,,2134,31,Nonpublic School                   ,009,COVENANT LIFE SCHOOL               ,,09 ,GRAD,20080414,10,R,1,All Categories,All Students,Y,1,,,,,,,,,,,,,,,,,,,,,9,N,22,Faribault                                    ,00,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
