SchYear,DistNumb,DistType,DistName,SchNum,SchCls,SchName,CountyNumber,CountyName,EcoDevRgn,TotFTE,Male,Female,IndianMale,IndianFemale,AsianMale,AsianFemale,HispanicMale,HispanicFemale,BlackMale,BlackFemale,WhiteMale,WhiteFemale,NewTchr,AvgYrsExp,Exp1_5,Exp6_10,Exp11_15,Exp16_20,Exp21_25,Exp26_30,Exp31Plus,LessThanBA,BA,MA,PhD,EdUnkn,AvgAge,AgeLess25,Age25_29,Age30_34,Age35_44,Age45_54,Age55Plus
10-11,0001,01,AITKIN PUBLIC SCHOOL DISTRICT                     ,001,33,AITKIN SECONDARY SCHOOL                           ,1,Aitkin                                            ,03                  ,36.02,15.21,20.81,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,15.21,19.81,0.00,14.00,7.00,8.04,7.77,7.20,0.00,2.00,4.01,0.00,23.80,12.18,0.00,0.00,42.00,3.00,2.00,4.00,12.17,10.65,4.20
10-11,0001,01,AITKIN PUBLIC SCHOOL DISTRICT                     ,002,10,RIPPLESIDE ELEMENTARY                             ,1,Aitkin                                            ,03                  ,36.93,9.50,27.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.50,27.43,2.00,15.00,9.00,6.17,6.87,3.23,4.33,2.23,4.10,0.00,27.67,8.67,0.00,0.00,41.00,4.00,3.00,8.00,7.04,10.56,4.33
10-11,0001,01,AITKIN PUBLIC SCHOOL DISTRICT                     ,003,10,PALISADE ELEMENTARY                               ,1,Aitkin                                            ,03                  ,1.99,0.00,1.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.99,0.00,10.00,0.00,0.99,1.00,0.00,0.00,0.00,0.00,0.00,1.99,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.99,1.00
10-11,0001,01,AITKIN PUBLIC SCHOOL DISTRICT                     ,004,90,AITKIN CHILREN'S CENTER/ECFE                      ,1,Aitkin                                            ,03                  ,2.17,0.00,2.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.17,0.50,6.00,0.50,1.00,0.67,0.00,0.00,0.00,0.00,0.00,2.17,0.00,0.00,0.00,35.00,0.00,0.50,0.00,1.00,0.67,0.00
10-11,0001,01,AITKIN PUBLIC SCHOOL DISTRICT                     ,006,42,AITKIN ALTERNATIVE LEARNING PROGRAM               ,1,Aitkin                                            ,03                  ,0.40,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,19.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,58.00,0.00,0.00,0.00,0.00,0.00,0.40
10-11,0001,01,AITKIN PUBLIC SCHOOL DISTRICT                     ,000,0 ,Totals                                            ,1,Aitkin                                            ,03                  ,77.51,24.91,52.60,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,24.91,51.60,2.50,14.00,16.50,16.20,16.31,10.83,4.33,4.23,8.11,0.00,56.03,20.85,0.00,0.00,42.00,7.00,5.50,12.00,20.21,22.87,9.93
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,000,00,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,27,Hennepin                                          ,11                  ,51.23,17.11,34.12,0.00,0.00,0.00,1.00,0.00,2.00,0.00,1.00,17.11,30.12,11.00,11.00,27.64,6.00,4.57,5.72,3.30,1.00,3.00,0.00,34.52,16.71,0.00,0.00,43.00,5.00,6.64,2.00,12.38,11.41,13.80
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,103,10,ARMATAGE ELEMENTARY                               ,27,Hennepin                                          ,11                  ,27.17,3.37,23.80,0.00,0.00,0.00,1.00,0.00,0.00,0.20,1.00,3.17,21.80,2.00,13.00,7.00,0.00,5.17,7.80,4.00,2.20,1.00,0.00,12.60,14.37,0.00,0.20,40.00,1.00,5.00,1.00,10.17,6.00,4.00
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,104,10,LAKE HARRIET LOWER ELEMENTARY                     ,27,Hennepin                                          ,11                  ,18.94,4.00,14.94,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,4.00,13.94,0.00,25.00,0.00,0.00,5.00,2.00,4.00,6.02,1.92,0.00,4.00,13.94,0.00,1.00,50.00,0.00,0.00,0.00,4.00,11.02,3.92
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,105,10,BANCROFT ELEMENTARY                               ,27,Hennepin                                          ,11                  ,31.80,2.00,29.80,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,2.00,26.80,1.00,17.00,3.80,0.00,7.00,8.00,6.00,5.00,2.00,0.00,12.80,19.00,0.00,0.00,47.00,2.00,1.00,0.00,7.80,12.00,9.00
