SchYear,DistNumb,DistType,DistName,SchNum,SchCls,SchName,CountyNumber,CountyName,EcoDevRgn,TotFTE,Male,Female,IndianMale,IndianFemale,AsianMale,AsianFemale,HispanicMale,HispanicFemale,BlackMale,BlackFemale,WhiteMale,WhiteFemale,NewTchr,AvgYrsExp,Exp1_5,Exp6_10,Exp11_15,Exp16_20,Exp21_25,Exp26_30,Exp31Plus,LessThanBA,BA,MA,PhD,EdUnkn,AvgAge,AgeLess25,Age25_29,Age30_34,Age35_44,Age45_54,Age55Plus
12-13,0001,01,AITKIN PUBLIC SCHOOL DISTRICT                     ,001,33,AITKIN SECONDARY SCHOOL                           ,1,Aitkin                                            ,03                  ,35.88,16.00,19.88,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,16.00,18.88,4.00,15.00,10.00,2.04,8.80,8.04,2.00,2.00,3.00,0.00,23.60,12.20,0.00,0.00,42.00,6.00,3.00,2.00,8.20,12.64,4.04
12-13,0001,01,AITKIN PUBLIC SCHOOL DISTRICT                     ,002,10,RIPPLESIDE ELEMENTARY                             ,1,Aitkin                                            ,03                  ,38.80,6.50,32.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.50,32.30,0.00,12.00,11.50,7.17,9.87,4.23,1.00,4.83,0.20,0.00,31.67,6.67,0.00,0.00,39.00,5.00,5.50,7.00,11.04,7.00,3.26
12-13,0001,01,AITKIN PUBLIC SCHOOL DISTRICT                     ,003,10,PALISADE ELEMENTARY                               ,1,Aitkin                                            ,03                  ,1.98,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.98,0.00,7.00,0.99,0.00,0.99,0.00,0.00,0.00,0.00,0.00,1.98,0.00,0.00,0.00,38.00,0.00,0.99,0.00,0.00,0.99,0.00
12-13,0001,01,AITKIN PUBLIC SCHOOL DISTRICT                     ,004,90,AITKIN CHILREN'S CENTER/ECFE                      ,1,Aitkin                                            ,03                  ,3.34,0.00,3.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.34,0.00,8.00,0.67,1.00,1.67,0.00,0.00,0.00,0.00,0.00,3.34,0.00,0.00,0.00,38.00,0.00,0.00,1.00,1.67,0.67,0.00
12-13,0001,01,AITKIN PUBLIC SCHOOL DISTRICT                     ,006,42,AITKIN ALTERNATIVE LEARNING PROGRAM               ,1,Aitkin                                            ,03                  ,0.20,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,22.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.00,61.00,0.00,0.00,0.00,0.00,0.00,0.20
12-13,0001,01,AITKIN PUBLIC SCHOOL DISTRICT                     ,000,0 ,Totals                                            ,1,Aitkin                                            ,03                  ,80.20,22.50,57.70,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,22.50,56.70,4.00,14.00,23.16,10.21,21.33,12.27,3.20,6.83,3.20,0.00,60.79,18.87,0.00,0.00,41.00,11.00,9.49,10.00,20.91,21.30,7.50
12-13,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,000,00,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,27,Hennepin                                          ,11                  ,58.27,14.71,43.56,1.02,1.00,0.00,2.00,1.00,1.00,0.00,0.40,12.69,39.16,11.20,12.00,26.30,3.80,11.78,5.40,4.99,0.00,5.00,4.00,28.52,24.75,0.00,1.00,44.00,3.00,8.00,7.70,14.54,7.30,17.73
12-13,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,021,50,SPECIAL EDUCATION                                 ,27,Hennepin                                          ,11                  ,0.20,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,22.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.20,0.00,0.00,59.00,0.00,0.00,0.00,0.00,0.00,0.20
12-13,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,103,10,ARMATAGE ELEMENTARY                               ,27,Hennepin                                          ,11                  ,30.07,4.20,25.87,0.00,0.00,0.00,1.00,0.00,0.00,0.20,1.00,4.00,23.87,2.00,16.00,7.00,3.00,4.80,8.05,5.00,2.02,0.00,0.00,16.82,13.05,0.00,0.20,43.00,0.00,4.00,1.80,14.05,8.00,2.22
12-13,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,104,10,LAKE HARRIET LOWER ELEMENTARY                     ,27,Hennepin                                          ,11                  ,17.57,3.60,13.97,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,3.60,12.97,0.00,23.00,0.00,0.00,1.00,6.96,1.60,6.01,2.00,0.00,4.00,12.57,0.00,1.00,48.00,0.00,0.00,0.00,3.36,11.21,3.00
12-13,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,105,10,BANCROFT ELEMENTARY                               ,27,Hennepin                                          ,11                  ,41.10,3.00,38.10,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,3.00,35.10,2.00,14.00,10.10,2.00,5.00,8.01,9.99,4.00,2.00,1.00,17.11,22.99,0.00,0.00,44.00,2.00,2.00,5.00,10.10,10.99,11.01
12-13,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,106,10,BARTON OPEN ELEMENTARY                            ,27,Hennepin                                          ,11                  ,34.85,6.82,28.03,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,6.82,27.83,0.00,20.00,2.80,1.83,4.97,7.72,7.80,5.00,3.79,0.00,10.02,24.83,0.00,0.00,47.00,0.80,0.00,2.00,5.77,16.35,9.93
12-13,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,107,10,BETHUNE ELEMENTARY                                ,27,Hennepin                                          ,11                  ,28.40,4.40,24.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.50,4.40,20.50,8.00,8.00,17.90,0.00,2.00,3.50,2.00,2.00,1.00,1.00,18.90,8.50,0.00,0.00,36.00,7.00,3.00,5.00,4.90,5.50,3.00
12-13,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,110,10,BURROUGHS ELEMENTARY                              ,27,Hennepin                                          ,11                  ,34.42,17.00,17.42,1.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,16.00,16.92,0.00,18.00,5.33,1.00,5.50,7.76,6.83,3.00,4.00,0.00,9.33,22.26,0.00,2.83,48.00,0.00,2.00,1.00,12.83,9.76,8.83
12-13,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,119,20,FIELD ELEMENTARY                                  ,27,Hennepin                                          ,11                  ,24.72,7.56,17.16,0.00,0.00,0.00,1.71,0.00,0.00,0.00,0.71,7.56,14.74,0.00,16.00,2.20,2.55,8.40,2.56,8.16,0.85,0.00,0.00,5.67,19.05,0.00,0.00,51.00,0.00,0.00,0.83,3.64,12.63,7.62
12-13,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,121,10,LAKE HARRIET UPPER SCHOOL                         ,27,Hennepin                                          ,11                  ,32.83,10.85,21.98,1.76,0.00,0.00,0.37,0.00,0.00,1.66,0.00,7.43,21.61,2.00,18.00,2.00,2.02,6.53,7.38,7.11,6.15,1.00,0.00,10.07,21.10,0.00,1.66,48.00,0.00,0.00,2.92,7.70,12.07,10.14
12-13,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,123,10,HALE ELEMENTARY                                   ,27,Hennepin                                          ,11                  ,32.07,4.01,28.06,0.00,0.00,1.00,0.00,0.00,0.50,1.00,0.00,2.01,27.56,0.00,20.00,2.80,1.83,1.50,4.00,11.11,8.83,2.00,0.00,6.30,22.76,1.00,2.01,47.00,0.00,2.63,0.00,8.50,14.94,6.00
12-13,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,130,10,HIAWATHA ELEMENTARY                               ,27,Hennepin                                          ,11                  ,19.50,2.00,17.50,0.00,0.00,0.00,1.00,1.00,0.00,0.00,2.00,1.00,14.50,0.00,21.00,0.20,0.00,2.00,1.80,4.40,9.00,2.00,0.00,4.80,14.70,0.00,0.00,53.00,0.00,0.00,0.00,1.20,11.50,6.80
12-13,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,134,10,LK NOKOMIS COMM-KEEWAYDIN CAMPUS                  ,27,Hennepin                                          ,11                  ,17.93,1.91,16.02,0.00,0.00,0.00,0.00,0.00,1.02,0.00,0.00,1.91,15.00,0.00,12.00,5.43,1.87,5.27,2.00,1.97,0.00,0.37,1.01,11.48,4.42,0.00,1.02,40.00,1.00,2.88,2.41,4.23,6.02,1.39
12-13,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,135,10,KENNY ELEMENTARY                                  ,27,Hennepin                                          ,11                  ,21.79,1.00,20.79,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,18.79,0.00,14.00,2.79,1.00,2.64,8.00,4.36,2.00,1.00,0.00,6.80,14.99,0.00,0.00,43.00,0.00,1.79,0.00,7.00,8.00,5.00
12-13,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,136,10,KENWOOD ELEMENTARY                                ,27,Hennepin                                          ,11                  ,23.32,4.20,19.12,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,3.20,18.12,0.00,23.00,1.00,0.00,2.50,3.20,9.62,5.00,2.00,0.00,2.20,20.12,0.00,1.00,50.00,0.00,1.00,0.00,4.10,11.22,7.00
12-13,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,140,10,LORING ELEMENTARY                                 ,27,Hennepin                                          ,11                  ,27.10,7.00,20.10,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,7.00,17.10,0.20,15.00,4.20,1.80,4.50,5.60,7.00,3.00,0.00,0.00,12.00,15.10,0.00,0.00,44.00,0.00,1.00,2.00,4.50,16.60,3.00
12-13,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,144,10,LYNDALE ELEMENTARY                                ,27,Hennepin                                          ,11                  ,34.37,8.47,25.90,2.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,6.47,22.90,0.00,15.00,6.67,6.00,5.00,7.50,3.90,3.00,2.30,0.00,13.67,19.70,0.00,1.00,43.00,0.00,2.00,6.67,10.00,9.90,5.80
12-13,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,151,10,JENNY LIND ELEMENTARY                             ,27,Hennepin                                          ,11                  ,37.70,6.27,31.43,0.00,0.00,0.00,3.00,0.00,1.00,2.80,4.00,3.47,23.43,3.49,11.00,16.40,2.46,6.64,2.90,2.50,2.00,3.80,2.00,17.06,17.64,0.00,1.00,40.00,3.01,4.99,2.46,10.37,8.77,8.10
