SchYear,DistNumb,DistType,DistName,SchNum,SchClassif,SchName,CountyNum,CountyName,EconDevRgn,TotFTE,Male,Female,IndianMale,IndianFemale,AsianMale,AsianFemale,HispanicMale,HispanicFemale,BlackMale,BlackFemale,WhiteMale,WhiteFemale,NewTch,AvgYrsExp,Exp1-5,Exp6-10,Exp11-15,Exp16-20,Exp21-25,Exp26-30,Exp31+,<BA,BA,MA,PhD,EdUnkn,AvgAge,Age <25,Age25-29,Age30-34,Age35-44,Age45-54,Age55+
06-07,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,001,33,AITKIN SECONDARY SCHOOL,01,AITKIN,03,38.91,19.84,19.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.84,19.07,2.00,16.71,8.49,8.08,7.09,2.07,2.37,5.82,4.99,0.00,24.39,14.76,0.00,0.00,44.27,2.00,2.80,5.81,10.69,9.89,7.72
06-07,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,002,10,RIPPLESIDE ELEMENTARY,01,AITKIN,03,37.30,9.50,27.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.50,27.80,2.00,18.72,6.00,9.67,2.00,3.83,2.70,3.10,10.00,0.00,32.30,5.47,0.00,0.00,43.38,1.00,10.00,0.17,9.00,11.13,6.00
06-07,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,003,10,PALISADE ELEMENTARY,01,AITKIN,03,2.99,0.00,2.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.99,0.00,14.43,0.00,1.99,0.00,0.00,0.00,0.00,1.00,0.00,1.99,1.00,0.00,0.00,54.29,0.00,0.00,0.00,1.00,0.99,1.00
06-07,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,004,90,AITKIN CHILREN'S CENTER/ECFE,01,AITKIN,03,1.66,0.00,1.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.66,0.00,17.50,0.00,0.83,0.00,0.00,0.00,0.83,0.00,0.00,1.66,0.00,0.00,0.00,47.00,0.00,0.00,0.00,0.83,0.00,0.83
06-07,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,006,42,AITKIN ALTERNATIVE LEARNING PROGRAM,01,AITKIN,03,1.51,0.74,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.74,0.77,0.00,14.88,0.00,0.40,0.57,0.20,0.17,0.17,0.00,0.00,1.17,0.34,0.00,0.00,43.50,0.00,0.20,0.20,0.34,0.57,0.20
06-07,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,0,Totals:,01,AITKIN,03,82.37,30.08,52.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.08,52.29,4.00,17.19,14.49,20.97,9.66,6.10,5.24,9.92,15.99,0.00,61.51,21.57,0.00,0.00,44.47,3.00,13.00,6.18,21.86,22.58,15.75
06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,000,00,MINNEAPOLIS PUBLIC SCHOOL DIST.,27,HENNEPIN,11,113.87,16.19,97.68,0.00,2.00,0.00,0.00,0.00,0.60,1.60,4.00,14.59,91.08,14.70,10.92,38.94,19.44,36.11,10.48,4.40,1.10,3.40,0.00,59.43,54.44,0.00,0.00,47.18,2.00,8.30,11.60,18.69,35.98,37.30
06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,103,10,ARMATAGE ELEMENTARY,27,HENNEPIN,11,24.17,2.40,21.77,0.00,0.00,0.00,2.00,0.00,0.00,0.40,2.00,2.00,17.77,1.00,16.43,2.00,1.50,8.25,3.00,4.42,3.00,2.00,0.00,7.19,16.58,0.00,0.40,45.67,1.00,0.00,1.00,9.58,6.90,5.69
06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,104,10,LAKE HARRIET LOWER ELEMENTARY,27,HENNEPIN,11,16.33,1.00,15.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,15.33,0.00,22.46,0.00,0.50,1.14,2.99,4.50,6.20,1.00,0.00,0.64,14.69,0.00,1.00,50.92,0.00,0.00,0.00,4.99,4.00,7.34
06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,105,10,BANCROFT ELEMENTARY,27,HENNEPIN,11,29.70,2.00,27.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,26.70,0.00,18.66,0.00,5.50,7.00,7.00,6.00,2.20,2.00,0.00,9.70,20.00,0.00,0.00,49.15,0.00,0.00,0.50,12.00,9.20,8.00
06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,106,10,BARTON OPEN ELEMENTARY,27,HENNEPIN,11,35.64,7.17,28.47,0.00,0.00,0.00,0.20,0.00,0.00,0.17,0.00,7.00,28.27,0.17,15.63,1.17,3.99,9.00,11.99,4.50,4.99,0.00,0.00,15.18,20.29,0.00,0.17,46.27,0.00,1.00,0.00,17.30,14.34,3.00
06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,107,10,BETHUNE ELEMENTARY,27,HENNEPIN,11,20.02,2.00,18.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,17.02,0.00,15.10,3.00,0.00,6.52,4.50,4.00,2.00,0.00,0.00,6.00,13.02,0.00,1.00,46.34,1.00,1.00,2.00,3.50,9.52,3.00
06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,110,10,BURROUGHS ELEMENTARY,27,HENNEPIN,11,31.92,13.80,18.12,0.80,0.00,0.00,0.00,0.00,1.50,0.00,0.00,13.00,16.62,0.00,15.50,0.20,6.21,13.71,3.00,4.00,2.00,2.80,0.00,8.21,20.80,0.00,2.91,44.20,0.00,0.00,3.91,14.30,7.91,5.80
06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,119,10,FIELD ELEMENTARY,27,HENNEPIN,11,20.21,4.66,15.55,0.74,0.00,0.00,0.00,0.00,0.00,0.74,0.00,3.18,15.55,0.00,15.32,1.72,7.04,3.26,4.84,1.72,0.61,1.02,0.00,8.81,11.40,0.00,0.00,44.32,0.00,0.00,3.75,8.29,3.96,4.21
06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,121,10,LAKE HARRIET UPPER SCHOOL,27,HENNEPIN,11,31.28,8.92,22.36,2.06,0.00,0.00,0.39,0.00,0.00,1.42,0.00,5.44,21.97,0.99,15.70,0.99,7.46,6.62,9.28,1.42,2.00,3.51,0.00,10.31,17.57,0.00,3.40,46.08,0.00,0.99,3.21,9.51,10.66,6.91
06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,123,10,HALE ELEMENTARY,27,HENNEPIN,11,26.70,1.00,25.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,25.70,0.00,20.49,0.00,0.00,3.50,12.00,6.50,1.60,3.10,0.00,6.77,17.43,0.50,2.00,49.72,0.00,0.00,0.00,9.00,9.60,8.10
06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,124,10,PARK VIEW MONTESSORI ELEMENTARY,27,HENNEPIN,11,14.85,2.98,11.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.98,11.87,0.00,15.54,0.00,1.69,7.96,2.00,1.20,0.00,2.00,0.00,5.49,7.68,0.00,1.68,44.54,0.00,0.00,2.29,5.98,2.10,4.48
06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,129,10,LINCOLN ELEMENTARY,27,HENNEPIN,11,31.78,7.21,24.57,0.00,0.00,0.00,1.00,0.00,0.00,1.02,3.99,6.19,19.58,1.99,13.35,3.01,7.57,10.19,5.99,1.02,3.00,1.00,0.00,13.57,18.21,0.00,0.00,42.38,0.99,2.00,0.99,16.21,5.59,6.00
06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,130,10,HIAWATHA ELEMENTARY,27,HENNEPIN,11,16.60,2.40,14.20,0.00,0.00,1.00,0.50,0.00,0.00,0.00,3.00,1.40,10.70,0.00,22.72,0.00,0.40,0.00,7.00,5.20,2.00,2.00,0.00,2.90,13.70,0.00,0.00,48.60,0.00,0.00,0.00,6.90,7.20,2.50
