SchYear,DistNumb,DistType,DistName,SchNum,SchCls,SchName,CountyNumber,CountyName,EcoDevRgn,TotFTE,Male,Female,IndianMale,IndianFemale,AsianMale,AsianFemale,HispanicMale,HispanicFemale,BlackMale,BlackFemale,WhiteMale,WhiteFemale,NewTchr,AvgYrsExp,Exp1_5,Exp6_10,Exp11_15,Exp16_20,Exp21_25,Exp26_30,Exp31Plus,LessThanBA,BA,MA,PhD,EdUnkn,AvgAge,AgeLess25,Age25_29,Age30_34,Age35_44,Age45_54,Age55Plus
11-12,0001,01,AITKIN PUBLIC SCHOOL DISTRICT                     ,001,33,AITKIN SECONDARY SCHOOL                           ,1,Aitkin                                            ,03                  ,34.29,16.41,17.88,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,16.41,16.88,1.00,16.00,5.00,8.04,7.80,6.44,1.00,2.00,4.01,0.00,23.00,11.21,0.00,0.00,44.00,3.00,2.00,2.00,9.20,12.69,5.40
11-12,0001,01,AITKIN PUBLIC SCHOOL DISTRICT                     ,002,10,RIPPLESIDE ELEMENTARY                             ,1,Aitkin                                            ,03                  ,40.80,8.50,32.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.50,32.30,4.00,13.00,13.50,7.17,8.87,2.23,3.83,2.00,3.20,0.00,32.67,7.67,0.00,0.00,38.00,5.00,6.50,9.00,9.04,6.83,4.43
11-12,0001,01,AITKIN PUBLIC SCHOOL DISTRICT                     ,003,10,PALISADE ELEMENTARY                               ,1,Aitkin                                            ,03                  ,1.99,0.00,1.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.99,0.00,11.00,0.00,0.00,1.99,0.00,0.00,0.00,0.00,0.00,1.99,0.00,0.00,0.00,51.00,0.00,0.00,0.00,0.00,0.99,1.00
11-12,0001,01,AITKIN PUBLIC SCHOOL DISTRICT                     ,004,90,AITKIN CHILREN'S CENTER/ECFE                      ,1,Aitkin                                            ,03                  ,3.54,0.00,3.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.54,0.00,8.00,0.67,2.00,0.87,0.00,0.00,0.00,0.00,0.00,3.54,0.00,0.00,0.00,40.00,0.00,0.00,1.00,1.67,0.67,0.20
11-12,0001,01,AITKIN PUBLIC SCHOOL DISTRICT                     ,006,42,AITKIN ALTERNATIVE LEARNING PROGRAM               ,1,Aitkin                                            ,03                  ,0.40,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,20.00,0.00,0.00,0.00,0.20,0.20,0.00,0.00,0.00,0.40,0.00,0.00,0.00,59.00,0.00,0.00,0.00,0.00,0.00,0.40
11-12,0001,01,AITKIN PUBLIC SCHOOL DISTRICT                     ,000,0 ,Totals                                            ,1,Aitkin                                            ,03                  ,81.02,25.11,55.91,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,25.11,54.91,5.00,14.00,19.17,17.21,19.53,8.87,5.03,4.00,7.21,0.00,61.60,18.88,0.00,0.00,42.00,8.00,8.50,12.00,19.91,21.18,11.43
11-12,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,000,00,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,27,Hennepin                                          ,11                  ,71.53,26.03,45.50,1.02,0.00,0.00,1.00,0.00,1.00,0.00,1.00,25.01,42.50,12.37,11.00,34.37,9.00,11.02,7.31,3.83,1.00,5.00,0.00,48.22,22.31,1.00,0.00,43.00,4.87,10.50,4.00,19.32,13.83,19.01
11-12,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,021,50,SPECIAL EDUCATION                                 ,27,Hennepin                                          ,11                  ,0.20,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,21.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.20,0.00,0.00,58.00,0.00,0.00,0.00,0.00,0.00,0.20
11-12,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,103,10,ARMATAGE ELEMENTARY                               ,27,Hennepin                                          ,11                  ,30.16,3.20,26.96,0.00,0.00,0.00,1.00,0.00,0.00,0.20,1.00,3.00,24.96,1.00,15.00,8.00,1.00,5.00,9.82,3.12,2.22,1.00,0.00,15.82,14.14,0.00,0.20,43.00,1.00,6.00,0.00,13.02,5.00,5.14
11-12,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,104,10,LAKE HARRIET LOWER ELEMENTARY                     ,27,Hennepin                                          ,11                  ,17.82,3.42,14.40,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,3.42,13.40,0.00,22.00,0.00,0.00,1.50,6.60,3.60,4.12,1.00,0.00,4.00,12.82,0.00,1.00,47.00,0.00,0.00,0.00,4.68,10.14,3.00
